publish_time,publish_time_key,year,month,day
2018-05-23,20180523,2018,5,23
2017-06-17,20170617,2017,6,17
2013-04-05,20130405,2013,4,5
2017-09-05,20170905,2017,9,5
2013-06-05,20130605,2013,6,5
2016-02-12,20160212,2016,2,12
2018-01-02,20180102,2018,1,2
2016-11-04,20161104,2016,11,4
2013-10-27,20131027,2013,10,27
2015-07-30,20150730,2015,7,30
2014-12-11,20141211,2014,12,11
2015-08-30,20150830,2015,8,30
2017-10-30,20171030,2017,10,30
2016-12-29,20161229,2016,12,29
2017-02-22,20170222,2017,2,22
2018-06-08,20180608,2018,6,8
2017-03-26,20170326,2017,3,26
2016-06-14,20160614,2016,6,14
2017-05-07,20170507,2017,5,7
2007-12-03,20071203,2007,12,3
2015-07-01,20150701,2015,7,1
2010-03-04,20100304,2010,3,4
2017-09-22,20170922,2017,9,22
2018-05-05,20180505,2018,5,5
2012-11-10,20121110,2012,11,10
2017-11-15,20171115,2017,11,15
2018-03-01,20180301,2018,3,1
2015-04-02,20150402,2015,4,2
2017-11-17,20171117,2017,11,17
2018-01-17,20180117,2018,1,17
2018-05-07,20180507,2018,5,7
2018-05-30,20180530,2018,5,30
2017-10-01,20171001,2017,10,1
2016-10-14,20161014,2016,10,14
2017-01-12,20170112,2017,1,12
2018-04-17,20180417,2018,4,17
2017-03-18,20170318,2017,3,18
2012-12-11,20121211,2012,12,11
2014-09-21,20140921,2014,9,21
2017-08-01,20170801,2017,8,1
2017-11-03,20171103,2017,11,3
2013-11-01,20131101,2013,11,1
2017-10-04,20171004,2017,10,4
2015-07-17,20150717,2015,7,17
2012-11-30,20121130,2012,11,30
2018-02-21,20180221,2018,2,21
2017-09-19,20170919,2017,9,19
2018-02-17,20180217,2018,2,17
2018-03-05,20180305,2018,3,5
2016-08-14,20160814,2016,8,14
2017-10-22,20171022,2017,10,22
2018-02-18,20180218,2018,2,18
2017-05-22,20170522,2017,5,22
2016-07-12,20160712,2016,7,12
2015-09-03,20150903,2015,9,3
2017-10-28,20171028,2017,10,28
2017-06-22,20170622,2017,6,22
2018-02-14,20180214,2018,2,14
2017-10-19,20171019,2017,10,19
2016-07-30,20160730,2016,7,30
2017-11-25,20171125,2017,11,25
2018-01-03,20180103,2018,1,3
2014-01-19,20140119,2014,1,19
2018-02-16,20180216,2018,2,16
2010-04-23,20100423,2010,4,23
2014-11-04,20141104,2014,11,4
2017-12-30,20171230,2017,12,30
2011-11-09,20111109,2011,11,9
2017-12-23,20171223,2017,12,23
2017-08-28,20170828,2017,8,28
2016-10-12,20161012,2016,10,12
2016-03-21,20160321,2016,3,21
2010-05-19,20100519,2010,5,19
2017-12-18,20171218,2017,12,18
2018-02-15,20180215,2018,2,15
2018-03-26,20180326,2018,3,26
2018-05-13,20180513,2018,5,13
2016-11-28,20161128,2016,11,28
2012-04-18,20120418,2012,4,18
2018-05-16,20180516,2018,5,16
2017-12-29,20171229,2017,12,29
2018-06-04,20180604,2018,6,4
2018-01-21,20180121,2018,1,21
2018-03-14,20180314,2018,3,14
2016-06-23,20160623,2016,6,23
2016-05-14,20160514,2016,5,14
2011-02-03,20110203,2011,2,3
2017-08-27,20170827,2017,8,27
2017-02-18,20170218,2017,2,18
2017-07-22,20170722,2017,7,22
2017-10-11,20171011,2017,10,11
2015-07-20,20150720,2015,7,20
2018-01-27,20180127,2018,1,27
2018-06-14,20180614,2018,6,14
2018-03-24,20180324,2018,3,24
2017-08-31,20170831,2017,8,31
2015-12-09,20151209,2015,12,9
2011-11-04,20111104,2011,11,4
2010-01-14,20100114,2010,1,14
2011-11-20,20111120,2011,11,20
2018-05-19,20180519,2018,5,19
2016-11-27,20161127,2016,11,27
2013-05-20,20130520,2013,5,20
2016-10-13,20161013,2016,10,13
2008-01-07,20080107,2008,1,7
2018-04-05,20180405,2018,4,5
2018-04-07,20180407,2018,4,7
2017-12-26,20171226,2017,12,26
2014-05-05,20140505,2014,5,5
2013-08-16,20130816,2013,8,16
2017-09-27,20170927,2017,9,27
2014-11-24,20141124,2014,11,24
2018-01-15,20180115,2018,1,15
2017-11-01,20171101,2017,11,1
2017-06-16,20170616,2017,6,16
2016-10-10,20161010,2016,10,10
2017-12-07,20171207,2017,12,7
2017-10-17,20171017,2017,10,17
2012-03-24,20120324,2012,3,24
2010-01-24,20100124,2010,1,24
2017-05-03,20170503,2017,5,3
2015-03-26,20150326,2015,3,26
2016-11-10,20161110,2016,11,10
2011-11-10,20111110,2011,11,10
2017-05-04,20170504,2017,5,4
2018-01-22,20180122,2018,1,22
2017-02-21,20170221,2017,2,21
2017-10-13,20171013,2017,10,13
2018-04-12,20180412,2018,4,12
2017-12-14,20171214,2017,12,14
2018-06-02,20180602,2018,6,2
2013-04-27,20130427,2013,4,27
2015-12-16,20151216,2015,12,16
2017-12-11,20171211,2017,12,11
2017-12-20,20171220,2017,12,20
2017-07-17,20170717,2017,7,17
2018-01-28,20180128,2018,1,28
2017-12-12,20171212,2017,12,12
2018-04-19,20180419,2018,4,19
2017-06-05,20170605,2017,6,5
2017-03-22,20170322,2017,3,22
2018-03-11,20180311,2018,3,11
2018-05-08,20180508,2018,5,8
2017-08-30,20170830,2017,8,30
2017-07-09,20170709,2017,7,9
2008-08-29,20080829,2008,8,29
2018-05-17,20180517,2018,5,17
2018-01-09,20180109,2018,1,9
2016-05-30,20160530,2016,5,30
2017-07-25,20170725,2017,7,25
2018-04-30,20180430,2018,4,30
